"Story","Title","Result","Date","Stability","Duration (s)"
"company management","Filter","SUCCESS","2016-11-03T08:52:57.759+07:00","0.0","14.14"
"Employee Management display","Open Employee Management and add","SUCCESS","2016-11-03T09:16:07.676+07:00","0.0","24.49"
"Employee Management display","Open Employee Management and add  not success","SUCCESS","2016-11-03T09:13:33.274+07:00","0.0","17.01"
"Employee Management display","Open Employee Management and add and back","SUCCESS","2016-11-03T09:16:54.275+07:00","0.0","16.75"
"Employee Management display","Open Employee Management and add new","SUCCESS","2016-11-03T09:14:11.563+07:00","0.0","35.84"
"Employee Management display","Open Employee Management and delete with user full permission","SUCCESS","2016-11-03T09:15:26.841+07:00","0.0","20.2"
"Employee Management display","Open Employee Management and edit","SUCCESS","2016-11-03T09:14:48.209+07:00","0.0","37.77"
"Employee Management display","Open Employee Management and edit and back","SUCCESS","2016-11-03T09:15:47.834+07:00","0.0","18.9"
"Employee Management display","Open Employee Management and filter Employee input","SUCCESS","2016-11-03T09:11:40.234+07:00","0.0","24.96"
"Employee Management display","Open Employee Management and filter Employee select box","SUCCESS","2016-11-03T09:12:05.943+07:00","0.0","24.84"
"Employee Management display","Open Employee Management and sort all column","SUCCESS","2016-11-03T09:12:31.547+07:00","0.0","25.05"
"Employee Management display","Open Employee Management and use toggle working","SUCCESS","2016-11-03T09:13:05.282+07:00","0.0","27.22"
"Employee Management display","Open Employee Management and verify paging","SUCCESS","2016-11-03T09:12:57.372+07:00","0.0","7.03"
"Employee Management display","Open Employee Management and verify paging last, first, next, previous","SUCCESS","2016-11-03T09:17:50.197+07:00","0.0","11.09"
"Employee Management display","Open Employee Management and verify when select 1 record, change page and back","SUCCESS","2016-11-03T09:18:02.271+07:00","0.0","18.56"
"Employee Management display","Open Employee Management and verify when start","SUCCESS","2016-11-03T09:11:22.630+07:00","0.0","8.18"
"Employee Management display","Open Employee Management verify check toggle column show hidden column","SUCCESS","2016-11-03T09:11:31.545+07:00","0.0","7.94"
"Employee Management display","Open Employee Management verify screen when add new employee and click button reset","SUCCESS","2016-11-03T09:17:11.875+07:00","0.0","14.98"
"Employee Management display","Open Employee Management verify screen when edit new employee and click button reset","SUCCESS","2016-11-03T09:17:27.769+07:00","0.0","21.42"
"Notification Setting display","Open Notification Setting and verify paging last, first, next, previous","SUCCESS","2016-11-03T08:34:37.795+07:00","0.0","14.94"
"Notification Setting display","Open Notification Setting and verify start screen have setting","SUCCESS","2016-11-03T08:34:53.720+07:00","0.0","7.4"
"Notification Setting display","Open Notification Setting click check box enable","SUCCESS","2016-11-03T08:34:05.490+07:00","0.0","29.46"
"Notification Setting display","Open Notification Setting click view notification","SUCCESS","2016-11-03T08:35:01.980+07:00","0.0","9.72"
"Bass export display","Open bass export and use button Copy download location","SUCCESS","2016-11-03T08:45:36.119+07:00","0.0","8.9"
"Bass export display","Open bass export and use download location","SUCCESS","2016-11-03T08:45:03.925+07:00","0.0","19.74"
"Bass export display","Open bass export and verify","SUCCESS","2016-11-03T08:44:53.622+07:00","0.0","9.59"
"Bass export display","Open bass export and verify link download api","SUCCESS","2016-11-03T08:45:45.843+07:00","0.0","8.16"
"Bass export display","Open bass export use save path","SUCCESS","2016-11-03T08:45:24.431+07:00","0.0","10.93"
"Search Daily report by date","Paging","SUCCESS","2016-11-03T08:38:54.490+07:00","0.0","14.75"
"company management","Paging","SUCCESS","2016-11-03T08:52:35.781+07:00","0.0","10.59"
"company management","Sorter","SUCCESS","2016-11-03T08:53:12.759+07:00","0.0","26.65"
"Search Daily report by date","Toggle","SUCCESS","2016-11-03T08:38:41.173+07:00","0.0","12.37"
"company management","add new company and fill only required field","SUCCESS","2016-11-03T08:53:40.213+07:00","0.0","19.15"
"Accounting","change page on paging","SUCCESS","2016-11-03T09:07:26.104+07:00","0.0","17.49"
"Credit management test 4-6","change screen and fill sample data New Report-->Back-->Edit-->Back-->View-->Back-->Duplicate.","SUCCESS","2016-11-03T09:08:55.363+07:00","0.0","73.4"
"Search Daily report by date","create a daily report to test","SUCCESS","2016-11-03T08:39:21.739+07:00","0.0","14.49"
"register daily report","create new daily report and fill all fields","SUCCESS","2016-11-03T08:42:27.940+07:00","0.0","36.47"
"register daily report","create new daily report and fill only required fields","SUCCESS","2016-11-03T08:41:55.545+07:00","0.0","16.09"
"register daily report","create new daily report with category is other works","SUCCESS","2016-11-03T08:42:12.412+07:00","0.0","14.75"
"company management","delete company by select after filter","SUCCESS","2016-11-03T08:54:00.188+07:00","0.0","15.02"
"Search Daily report by date","initialization screen","SUCCESS","2016-11-03T08:38:18.593+07:00","0.0","8.14"
"Accounting","initialization screen","SUCCESS","2016-11-03T09:06:33.277+07:00","0.0","7.26"
"company management","initialization screen","SUCCESS","2016-11-03T08:52:26.190+07:00","0.0","8.68"
"register daily report","initialization screen when access from search by date screen","SUCCESS","2016-11-03T08:41:29.506+07:00","0.0","12.17"
"register daily report","initialization screen when create new daily report and verify toggle column","SUCCESS","2016-11-03T08:41:19.053+07:00","0.0","9.73"
"View Notification","initialization screen when have data","SUCCESS","2016-11-03T08:46:31.783+07:00","0.0","7.67"
"company management","save immediately after open edit screen","SUCCESS","2016-11-03T08:54:38.232+07:00","0.0","15.4"
"company management","search company","SUCCESS","2016-11-03T08:52:47.254+07:00","0.0","9.75"
"Accounting","search customer by code","SUCCESS","2016-11-03T09:06:41.269+07:00","0.0","14.87"
"Accounting","search customer by other conditions","SUCCESS","2016-11-03T09:06:57.120+07:00","0.0","27.87"
"Credit management test 1-3","search customer by other conditions, mapping sansan with credit data and Credit Investigation","SUCCESS","2016-11-03T08:56:50.972+07:00","0.0","120.32"
"Credit management test 1-3","search customer by other conditions, mapping sansan with credit data but not have Credit Investigation","SUCCESS","2016-11-03T08:58:52.699+07:00","0.0","57.79"
"Credit management test 1-3","search customer by other conditions, not mapping sansan with credit data","SUCCESS","2016-11-03T08:56:30.401+07:00","0.0","19.69"
"Credit management test 4-6","select record -> duplicate -> reset","SUCCESS","2016-11-03T09:10:09.950+07:00","0.0","22.97"
"Credit management test 4-6","select record -> duplicate -> save draft -> fail -> Reject->save draft -> success","SUCCESS","2016-11-03T09:07:44.737+07:00","0.0","69.49"
"Credit management add and edit","select record draft -> approve","SUCCESS","2016-11-03T09:02:30.392+07:00","0.0","55.19"
"Search Daily report by date","show all business detail","SUCCESS","2016-11-03T08:39:10.049+07:00","0.0","10.92"
"View Notification","switch to notification setting page","SUCCESS","2016-11-03T08:46:40.191+07:00","0.0","8.14"
"register daily report","update daily report when access from menu","SUCCESS","2016-11-03T08:43:05.373+07:00","0.0","46.31"
"Credit management test 4-6","verify approve customer data","SUCCESS","2016-11-03T09:10:33.760+07:00","0.0","47.78"
"Credit management add and edit","verify approve full data","SUCCESS","2016-11-03T09:05:46.079+07:00","0.0","46.19"
"Credit management add and edit","verify approve required data","SUCCESS","2016-11-03T09:03:26.396+07:00","0.0","138.81"
"register daily report","verify create new company when create daily report","SUCCESS","2016-11-03T08:43:52.507+07:00","0.0","29.96"
"register daily report","verify delete daily report","SUCCESS","2016-11-03T08:44:23.289+07:00","0.0","16.79"
"Search Daily report by date","verify delete daily report with user is manager","SUCCESS","2016-11-03T08:39:48.276+07:00","0.0","17.64"
"Search Daily report by date","verify edit daily report","SUCCESS","2016-11-03T08:39:37.057+07:00","0.0","10.4"
"View Notification","verify mark all as read function","SUCCESS","2016-11-03T08:47:28.616+07:00","0.0","15.46"
"Credit management test 1-3","verify screen View->Duplicate is same","SUCCESS","2016-11-03T08:59:51.537+07:00","0.0","32.96"
"Credit management add and edit","verify tab input customer data","SUCCESS","2016-11-03T09:01:39.616+07:00","0.0","49.85"
"View Notification","verify when delete tracking a user then add tracking that user again","SUCCESS","2016-11-03T08:47:45.007+07:00","0.0","280.14"
"View Notification","view details notification","SUCCESS","2016-11-03T08:47:17.199+07:00","0.0","10.66"
"company management","when add new company, click cancel after fill all fields","SUCCESS","2016-11-03T08:55:39.748+07:00","0.0","14.16"
"company management","when add new company, click reset after fill all fields","SUCCESS","2016-11-03T08:55:24.800+07:00","0.0","13.11"
"company management","when edit company, click cancel after fill all data","SUCCESS","2016-11-03T08:56:12.739+07:00","0.0","15.61"
"company management","when edit company, click reset after fill all data","SUCCESS","2016-11-03T08:55:55.845+07:00","0.0","14.96"
